                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3599,                 2.8279,                 1.3815,                  0.009,                0.94737,                0.63679,                0.40802,                0.87488,                  2.766,                 1.0755,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.1355,                 2.1492,                 1.2474,                 0.0095,                      1,                0.81968,                0.55062,                0.95699,                  2.538,                  1.047,             0.00016812,             0.00016812,             0.00016812
                      3,                 1.1058,                 1.3607,                 1.1941,                0.95573,                 0.7576,                0.91013,                0.59767,                 1.0513,                 1.9773,                 1.0692,             0.00024304,             0.00024304,             0.00024304
                      4,                 1.1385,                 1.1895,                 1.1925,                0.96688,                0.84211,                0.92277,                0.61517,                 1.0405,                 1.8277,                 1.0632,             0.00030476,             0.00030476,             0.00030476
                      5,                 1.0691,                 1.0888,                 1.1513,                      1,                0.75955,                0.92616,                   0.65,                 1.0184,                 1.8794,                 1.0706,             0.00035328,             0.00035328,             0.00035328
                      6,                 1.0207,                 1.1724,                 1.1058,                      1,                0.71974,                0.92882,                0.66944,                0.95147,                 1.9597,                 1.0274,              0.0003886,              0.0003886,              0.0003886
                      7,                 1.1209,                 1.2072,                 1.1793,                      1,                0.85753,                0.93344,                0.69585,                0.95279,                 1.9355,                0.99621,             0.00041072,             0.00041072,             0.00041072
                      8,                 1.0494,                 1.1878,                 1.1358,                      1,                0.77339,                0.92705,                0.66458,                 1.0197,                 1.9359,                 1.0477,             0.00041964,             0.00041964,             0.00041964
                      9,                0.97739,                 1.0929,                 1.1091,                0.97887,                0.81268,                0.87736,                0.67256,                 0.9776,                 1.8438,                 1.0287,             0.00041536,             0.00041536,             0.00041536
                     10,                 1.0643,                 1.0624,                 1.1342,                0.97928,                0.82923,                0.89102,                0.66614,                0.99469,                 1.7686,                 1.0345,             0.00039788,             0.00039788,             0.00039788
                     11,                 1.0033,                 1.0284,                 1.0773,                0.97948,                0.83745,                0.88046,                0.65863,                0.99988,                 1.7003,                 1.0354,              0.0003672,              0.0003672,              0.0003672
                     12,                 1.0158,                0.99192,                  1.119,                 0.9768,                0.84211,                0.88217,                0.63264,                 1.0283,                 1.6472,                 1.0595,             0.00032332,             0.00032332,             0.00032332
                     13,                 1.0358,                 1.0054,                 1.1482,                0.96587,                0.84211,                 0.8933,                0.65183,                 1.0174,                 1.5733,                   1.05,             0.00026624,             0.00026624,             0.00026624
                     14,                0.95884,                 0.9558,                 1.0846,                0.98031,                0.87346,                0.90002,                0.66279,                0.98431,                 1.4432,                 1.0248,             0.00019596,             0.00019596,             0.00019596
                     15,                0.93353,                0.96122,                 1.0561,                  0.997,                0.87719,                0.93146,                0.69504,                0.95123,                 1.3474,                 1.0026,             0.00011248,             0.00011248,             0.00011248
